transactionId,customerId,sourceAccountId,destinationAccountId,amount,currency,transactionType,channel,merchantCategory,country,deviceId,ipAddress,status,createdAt
CSV-TXN-0001,CUS-1001,ACC-1001,,250.00,USD,PAYMENT,WEB,GROCERY,United States,device-csv-01,203.0.113.20,SUCCESS,2026-07-08 09:15:00
CSV-TXN-0002,CUS-1002,ACC-1002,,4200.00,USD,TRANSFER,MOBILE,ELECTRONICS,Mexico,device-csv-02,203.0.113.21,SUCCESS,2026-07-08 10:30:00
CSV-TXN-0002,CUS-1002,ACC-1002,,4200.00,USD,TRANSFER,MOBILE,ELECTRONICS,Mexico,device-csv-02,203.0.113.21,SUCCESS,2026-07-08 10:30:00
CSV-TXN-0003,CUS-1001,ACC-1001,,-50.00,USD,WITHDRAWAL,ATM,,United States,device-csv-01,203.0.113.20,SUCCESS,2026-07-08 11:00:00
CSV-TXN-0004,CUS-1001,ACC-1001,,300.00,USD,BITCOIN_BUY,WEB,CRYPTO,United States,device-csv-01,203.0.113.20,SUCCESS,2026-07-08 12:00:00
CSV-TXN-0005,,ACC-1001,,150.00,USD,PAYMENT,WEB,RETAIL,United States,device-csv-01,203.0.113.20,SUCCESS,2026-07-08 13:00:00
CSV-TXN-0006,CUS-9999,ACC-1001,,150.00,USD,PAYMENT,WEB,RETAIL,United States,device-csv-01,203.0.113.20,SUCCESS,2026-07-08 13:30:00
CSV-TXN-0007,CUS-1001,ACC-9999,,150.00,USD,PAYMENT,WEB,RETAIL,United States,device-csv-01,203.0.113.20,SUCCESS,2026-07-08 14:00:00
CSV-TXN-0008,CUS-1002,ACC-1002,,999.99,USD,PAYMENT,WEB,TRAVEL,Mexico,device-csv-03,203.0.113.22,SUCCESS,2026-07-08 15:00:00
this,row,has,too,few,columns
